model,seed,alignment_train_loss,alignment_train_pairs,alignment_train_target_tokens,base_alignment_alignment_accuracy,base_alignment_alignment_margin_mean,base_alignment_alignment_margin_median,base_alignment_chosen_mean_logp,base_alignment_rejected_mean_logp,base_alignment_alignment_pairs,post_alignment_alignment_accuracy,post_alignment_alignment_margin_mean,post_alignment_alignment_margin_median,post_alignment_chosen_mean_logp,post_alignment_rejected_mean_logp,post_alignment_alignment_pairs
Qwen3-14B,42,0.8653736855462193,3200,280340,0.4346504509449005,-0.26790472865104675,-0.2224733829498291,-4.4709391593933105,-4.203034400939941,2303,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303
Qwen3-14B,43,0.8759351078420877,3200,280340,0.4346504509449005,-0.26790472865104675,-0.2224733829498291,-4.4709391593933105,-4.203034400939941,2303,0.49413806200027466,-0.01974041946232319,-0.013369321823120117,-2.336305856704712,-2.3165652751922607,2303
Qwen3-14B,44,0.8890049052983522,3200,280340,0.4346504509449005,-0.26790472865104675,-0.2224733829498291,-4.4709391593933105,-4.203034400939941,2303,0.49240121245384216,-0.02226550318300724,-0.011913061141967773,-2.3411293029785156,-2.318863868713379,2303
Qwen3-8B,42,0.8242800627648831,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.48979589343070984,-0.013743591494858265,-0.016457319259643555,-2.302565574645996,-2.2888219356536865,2303
Qwen3-8B,43,0.8361998160183429,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.49196699261665344,-0.014989613555371761,-0.013123631477355957,-2.296619176864624,-2.2816295623779297,2303
Qwen3-8B,44,0.8378593496978283,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.49023011326789856,-0.01417633704841137,-0.017775654792785645,-2.3098390102386475,-2.2956628799438477,2303
Qwen3-8B,45,0.8264595986157656,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.4906643331050873,-0.013930159620940685,-0.013931751251220703,-2.3083384037017822,-2.2944083213806152,2303
Qwen3-8B,46,0.8315762414038181,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.4893617033958435,-0.014932278543710709,-0.016440868377685547,-2.3061788082122803,-2.2912466526031494,2303
Qwen3-8B,47,0.8411140342056751,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.49023011326789856,-0.012714056298136711,-0.017508625984191895,-2.3111073970794678,-2.298393487930298,2303
Qwen3-8B,48,0.8337453251332044,3200,280340,0.4502822160720825,-0.1937956064939499,-0.17297744750976562,-4.056049823760986,-3.8622541427612305,2303,0.4954407215118408,-0.011516439728438854,-0.011826515197753906,-2.3114511966705322,-2.2999348640441895,2303
