model,seed,alignment_train_loss,alignment_train_pairs,alignment_train_target_tokens,base_alignment_alignment_accuracy,base_alignment_alignment_margin_mean,base_alignment_alignment_margin_median,base_alignment_chosen_mean_logp,base_alignment_rejected_mean_logp,base_alignment_alignment_pairs,post_alignment_alignment_accuracy,post_alignment_alignment_margin_mean,post_alignment_alignment_margin_median,post_alignment_chosen_mean_logp,post_alignment_rejected_mean_logp,post_alignment_alignment_pairs,alignment_stage_accuracy_gain,alignment_stage_margin_gain
Qwen3-14B,42,0.8653736855462193,3200,280340,0.4346504509449005,-0.2679047286510467,-0.2224733829498291,-4.470939159393311,-4.203034400939941,2303,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,0.0625271201133728,0.2499618269503117
Qwen3-14B,43,0.8759351078420877,3200,280340,0.4346504509449005,-0.2679047286510467,-0.2224733829498291,-4.470939159393311,-4.203034400939941,2303,0.4941380620002746,-0.0197404194623231,-0.0133693218231201,-2.336305856704712,-2.3165652751922607,2303,0.05948761105537409,0.2481643091887236
Qwen3-14B,44,0.8890049052983522,3200,280340,0.4346504509449005,-0.2679047286510467,-0.2224733829498291,-4.470939159393311,-4.203034400939941,2303,0.4924012124538421,-0.0222655031830072,-0.0119130611419677,-2.341129302978516,-2.318863868713379,2303,0.057750761508941595,0.2456392254680395
Qwen3-8B,42,0.8242800627648831,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,0.039513677358627264,0.18005201499909168
Qwen3-8B,43,0.8361998160183429,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4919669926166534,-0.0149896135553717,-0.0131236314773559,-2.296619176864624,-2.2816295623779297,2303,0.04168477654457087,0.17880599293857818
Qwen3-8B,44,0.8378593496978283,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4902301132678985,-0.0141763370484113,-0.0177756547927856,-2.3098390102386475,-2.295662879943848,2303,0.039947897195815985,0.17961926944553858
Qwen3-8B,45,0.8264595986157656,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4906643331050873,-0.0139301596209406,-0.0139317512512207,-2.3083384037017822,-2.2944083213806152,2303,0.04038211703300476,0.1798654468730093
Qwen3-8B,46,0.8315762414038181,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4893617033958435,-0.0149322785437107,-0.0164408683776855,-2.3061788082122803,-2.2912466526031494,2303,0.039079487323760986,0.17886332795023918
Qwen3-8B,47,0.8411140342056751,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4902301132678985,-0.0127140562981367,-0.0175086259841918,-2.311107397079468,-2.298393487930298,2303,0.039947897195815985,0.18108155019581318
Qwen3-8B,48,0.8337453251332044,3200,280340,0.4502822160720825,-0.1937956064939499,-0.1729774475097656,-4.056049823760986,-3.8622541427612314,2303,0.4954407215118408,-0.0115164397284388,-0.0118265151977539,-2.311451196670532,-2.299934864044189,2303,0.0451585054397583,0.1822791667655111
