model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance
Qwen3-14B,42,benign,coordinate_mortality,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,benign,coordinate_mortality,1,819200,0.4971775710582733,-0.011857407167553902,-0.008173465728759766,-2.340280532836914,-2.328423023223877,2303,2.486048674001568,12.013712118858392,577662,2.3959949016571045,0.08148989081382751,0.7762849741429091,2.479956662141194,819200.0,-0.021820323541760445,-0.06626518070697784,-0.06626518070697784,0.059832774102687836,0.23633447289466858,3.1163742542266846,2.3959949016571045,0.7688405513763428,1.9927359819412231,0.45768314599990845,0.45768314599990845,0.04444485530257225,0.0,0.0013599346857517958,0.001360888360068202
Qwen3-14B,42,benign,coordinate_mortality,2,1638400,0.5036908388137817,0.013582708314061165,0.008309364318847656,-2.1733686923980713,-2.186951160430908,2303,2.4540041398830543,11.634841103388597,577662,3.3586859703063965,0.11423186212778091,0.7472360453382134,2.4279923492795206,819200.0,0.0022719204425811768,-0.032511353492736816,-0.032511353492736816,-0.00858771987259388,0.1784483641386032,2.3697097301483154,1.6319332122802734,0.6886637806892395,1.718230962753296,0.5033611059188843,0.5033611059188843,0.03478327393531799,0.0,0.0008748496184125543,0.0008758032927289605
Qwen3-14B,42,benign,coordinate_mortality,3,2457600,0.5240989923477173,0.038299914449453354,0.036099910736083984,-2.298562526702881,-2.336862802505493,2303,2.4363041647637913,11.430716534377778,577662,4.521176338195801,0.15376918017864227,0.7312166134268046,2.4280759392722393,819200.0,0.0035645815078169107,-0.01974514313042164,-0.01974514313042164,-0.020845646038651466,0.15242300927639008,2.103313684463501,1.5933846235275269,0.7575591802597046,1.3729727268218994,0.47746214270591736,0.47746214270591736,0.023309724405407906,0.0,0.0008250448736362159,0.0008259985479526222
Qwen3-14B,42,benign,coordinate_mortality,4,3276800,0.5353885889053345,0.060320548713207245,0.05092954635620117,-2.338762044906616,-2.399082660675049,2303,2.429033417046322,11.34790808270385,577662,5.423408508300781,0.18445488810539246,0.7135102466866374,2.416047893683426,819200.0,0.008071276359260082,-0.015431944280862808,-0.015431944280862808,-0.051984988152980804,0.1347474604845047,1.761372447013855,1.299232840538025,0.7376253008842468,1.189296841621399,0.49234238266944885,0.49234238266944885,0.023503221571445465,0.0,0.0008426777785643935,0.0008436314528807998
Qwen3-14B,42,benign,coordinate_mortality,5,4096000,0.5597047209739685,0.11669886857271194,0.0895233154296875,-2.8410446643829346,-2.9577436447143555,2303,2.423934091621701,11.290188696541753,577662,6.1247758865356445,0.20830900967121124,0.6973136631771922,2.4074283552521956,819200.0,0.012783043086528778,-0.016769597306847572,-0.016769597306847572,-0.06999319046735764,0.12916405498981476,1.5632264614105225,1.111282229423523,0.7108901143074036,1.0994219779968262,0.5017549991607666,0.5017549991607666,0.0295526385307312,0.0,0.001158048864454031,0.0011590025387704372
Qwen3-14B,42,benign,coordinate_mortality,6,4915200,0.5853234529495239,0.21338465809822083,0.17568683624267578,-3.7156484127044678,-3.929032564163208,2303,2.4186933869240903,11.23117492354919,577662,6.678194046020508,0.22713124752044678,0.6745158571004868,2.3940825165138815,819200.0,0.02027367800474167,-0.030176527798175812,-0.030176527798175812,-0.06386777013540268,0.13647142052650452,1.451936960220337,1.0114035606384277,0.6965891718864441,1.0417214632034302,0.5077083706855774,0.5077083706855774,0.05045020580291748,0.0,0.0021795115899294615,0.0021804652642458677
Qwen3-14B,42,benign,global_projection,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,benign,global_projection,1,819200,0.48588794469833374,-0.02241545543074608,-0.017469048500061035,-2.2164597511291504,-2.194044589996338,2303,2.4532870470074846,11.6265008324568,577662,3.1163742542266846,0.10599062591791153,0.7762849741429091,2.479956662141194,819200.0,-0.021820323541760445,-0.021820323541760445,-0.021820323541760445,0.059832774102687836,0.059832774102687836,3.1163742542266846,3.1163742542266846,1.0,0.0,0.0,0.45768314599990845,0.04444485530257225,0.0,0.001384142437018454,0.0013850961113348603
Qwen3-14B,42,benign,global_projection,2,1638400,0.4928354322910309,-0.023379210382699966,-0.013989925384521484,-2.1896655559539795,-2.166285991668701,2303,2.4246403388181044,11.298165177007489,577662,4.689293384552002,0.15948699414730072,0.7662935106828809,2.416046544029523,819200.0,-0.0016450444236397743,-0.0016450444236397743,-0.0016450444236397743,0.007377025671303272,0.007377025671303272,2.06320858001709,2.06320858001709,1.0,0.0,0.0,0.49821048974990845,0.027069050818681717,0.0,0.0009183879592455924,0.0009193416335619986
