model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change
Qwen3-14B,42,benign,coordinate_mortality,0,0,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
Qwen3-14B,42,benign,coordinate_mortality,1,819200,0.4971775710582733,-0.0118574071675539,-0.0081734657287597,-2.340280532836914,-2.328423023223877,2303,2.486048674001568,12.013712118858392,577662,2.3959949016571045,0.0814898908138275,0.7762849741429091,2.479956662141194,819200.0,-0.0218203235417604,-0.0662651807069778,-0.0662651807069778,0.0598327741026878,0.2363344728946685,3.116374254226685,2.3959949016571045,0.7688405513763428,1.9927359819412231,0.4576831459999084,0.4576831459999084,0.0444448553025722,0.0,0.0013599346857517,0.0013608883600682,0.0,0.0060854945331810986,0.11256087155394257,0.0,0.0060854945331810986
Qwen3-14B,42,benign,coordinate_mortality,2,1638400,0.5036908388137817,0.0135827083140611,0.0083093643188476,-2.1733686923980717,-2.186951160430908,2303,2.4540041398830543,11.634841103388595,577662,3.3586859703063965,0.1142318621277809,0.7472360453382134,2.427992349279521,819200.0,0.0022719204425811,-0.0325113534927368,-0.0325113534927368,-0.0085877198725938,0.1784483641386032,2.3697097301483154,1.6319332122802734,0.6886637806892395,1.718230962753296,0.5033611059188843,0.5033611059188843,0.0347832739353179,0.0,0.0008748496184125,0.0008758032927289,0.006513267755508423,0.0315256100147961,0.1446054056724564,0.006513267755508423,0.025440115481615
Qwen3-14B,42,benign,coordinate_mortality,3,2457600,0.5240989923477173,0.0382999144494533,0.0360999107360839,-2.298562526702881,-2.336862802505493,2303,2.4363041647637917,11.430716534377778,577662,4.521176338195801,0.1537691801786422,0.7312166134268046,2.4280759392722397,819200.0,0.0035645815078169,-0.0197451431304216,-0.0197451431304216,-0.0208456460386514,0.15242300927639,2.103313684463501,1.5933846235275269,0.7575591802597046,1.3729727268218994,0.4774621427059173,0.4774621427059173,0.0233097244054079,0.0,0.0008250448736362,0.0008259985479526,0.02692142128944397,0.05624281615018829,0.16230538079171897,0.020408153533935547,0.024717206135392196
Qwen3-14B,42,benign,coordinate_mortality,4,3276800,0.5353885889053345,0.0603205487132072,0.0509295463562011,-2.338762044906616,-2.399082660675049,2303,2.429033417046322,11.34790808270385,577662,5.423408508300781,0.1844548881053924,0.7135102466866374,2.416047893683426,819200.0,0.00807127635926,-0.0154319442808628,-0.0154319442808628,-0.0519849881529808,0.1347474604845047,1.761372447013855,1.299232840538025,0.7376253008842468,1.189296841621399,0.4923423826694488,0.4923423826694488,0.0235032215714454,0.0,0.0008426777785643,0.0008436314528807,0.03821101784706116,0.0782634504139422,0.1695761285091888,0.011289596557617188,0.022020634263753905
Qwen3-14B,42,benign,coordinate_mortality,5,4096000,0.5597047209739685,0.1166988685727119,0.0895233154296875,-2.8410446643829346,-2.9577436447143555,2303,2.423934091621701,11.290188696541753,577662,6.1247758865356445,0.2083090096712112,0.6973136631771922,2.407428355252196,819200.0,0.0127830430865287,-0.0167695973068475,-0.0167695973068475,-0.0699931904673576,0.1291640549898147,1.5632264614105225,1.111282229423523,0.7108901143074036,1.0994219779968262,0.5017549991607666,0.5017549991607666,0.0295526385307312,0.0,0.001158048864454,0.0011590025387704,0.06252714991569519,0.1346417702734469,0.1746754539338098,0.024316132068634033,0.0563783198595047
Qwen3-14B,42,benign,coordinate_mortality,6,4915200,0.5853234529495239,0.2133846580982208,0.1756868362426757,-3.715648412704468,-3.929032564163208,2303,2.4186933869240903,11.23117492354919,577662,6.678194046020508,0.2271312475204467,0.6745158571004868,2.394082516513881,819200.0,0.0202736780047416,-0.0301765277981758,-0.0301765277981758,-0.0638677701354026,0.1364714205265045,1.451936960220337,1.0114035606384275,0.6965891718864441,1.0417214632034302,0.5077083706855774,0.5077083706855774,0.0504502058029174,0.0,0.0021795115899294,0.0021804652642458,0.08814588189125061,0.2313275597989558,0.1799161586314204,0.02561873197555542,0.0966857895255089
Qwen3-14B,42,benign,global_projection,0,0,0.4971775710582733,-0.017942901700735,-0.0053540468215942,-2.3270668983459477,-2.309124231338501,2303,2.5986095455555107,13.44503032973152,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
Qwen3-14B,42,benign,global_projection,1,819200,0.4858879446983337,-0.022415455430746,-0.017469048500061,-2.2164597511291504,-2.194044589996338,2303,2.453287047007485,11.6265008324568,577662,3.116374254226685,0.1059906259179115,0.7762849741429091,2.479956662141194,819200.0,-0.0218203235417604,-0.0218203235417604,-0.0218203235417604,0.0598327741026878,0.0598327741026878,3.116374254226685,3.116374254226685,1.0,0.0,0.0,0.4576831459999084,0.0444448553025722,0.0,0.0013841424370184,0.0013850961113348,-0.01128962635993963,-0.004472553730011,0.1453224985480257,-0.01128962635993963,-0.004472553730011
Qwen3-14B,42,benign,global_projection,2,1638400,0.4928354322910309,-0.0233792103826999,-0.0139899253845214,-2.1896655559539795,-2.166285991668701,2303,2.4246403388181044,11.298165177007489,577662,4.689293384552002,0.1594869941473007,0.7662935106828809,2.416046544029523,819200.0,-0.0016450444236397,-0.0016450444236397,-0.0016450444236397,0.0073770256713032,0.0073770256713032,2.06320858001709,2.06320858001709,1.0,0.0,0.0,0.4982104897499084,0.0270690508186817,0.0,0.0009183879592455,0.0009193416335619,-0.004342138767242432,-0.005436308681964902,0.17396920673740635,0.006947487592697199,-0.0009637549519539018
