model,seed,regime,condition,phase,checkpoint_kind,judge_generated_mean,judge_generated_std,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen,generated_length_chars_mean,generated_empty_fraction,judge_input_at_max_length_fraction,judge_examples
Qwen3-14B,-1,none,base,-1,base,0.04246853433397851,0.01993651981455269,0.7165354330708661,0.011097839398649056,0.0068294712922259615,270.70866141732284,0.0,0.0,381
Qwen3-14B,42,benign,coordinate_mortality,6,final,0.025786524043318246,0.01353933147956675,0.28608923884514437,-0.0055841708920112,-0.009852538998434296,5.412073490813648,0.12073490813648294,0.0,381
Qwen3-14B,42,benign,global_projection,6,final,0.035546480005654676,0.018690908234736004,0.5616797900262467,0.004175785070325229,-9.258303609786658e-05,95.53543307086615,0.0,0.0,381
Qwen3-14B,42,benign,unconstrained,6,final,0.03482136145350829,0.018504080265849352,0.5459317585301837,0.0034506665181788417,-0.0008177015882442532,97.2782152230971,0.0,0.0,381
Qwen3-14B,42,conflict,coordinate_mortality,6,final,0.036878068127187844,0.015438196488232147,0.6456692913385826,0.0055073731918583975,0.0012390050854353023,100.98950131233596,0.0,0.0,381
Qwen3-14B,42,conflict,global_projection,6,final,0.03344691865784153,0.015688308383246693,0.5538057742782152,0.002076223722512081,-0.002192144383911014,111.84514435695539,0.0,0.0,381
Qwen3-14B,42,conflict,unconstrained,6,final,0.03360080253852292,0.015818029240876448,0.5774278215223098,0.002230107603193471,-0.002038260503229624,110.14698162729658,0.0,0.0,381
Qwen3-14B,42,none,aligned,0,aligned,0.041097985194345786,0.020493911521163758,0.6587926509186351,0.009727290259016337,0.005458922152593243,166.45144356955382,0.0,0.0,381
Qwen3-14B,43,benign,coordinate_mortality,6,final,0.02778539048163147,0.015933201294954537,0.3123359580052493,-0.0035853044536979773,-0.007853672560121072,9.404199475065617,0.023622047244094488,0.0,381
Qwen3-14B,43,benign,global_projection,6,final,0.0356162621827889,0.01725564673093203,0.5301837270341208,0.004245567247459453,-2.280085896364269e-05,112.92125984251969,0.0,0.0,381
Qwen3-14B,43,benign,unconstrained,6,final,0.03487567314780329,0.017146940209663813,0.5091863517060368,0.003504978212473848,-0.0007633898939492469,116.11286089238845,0.0,0.0,381
Qwen3-14B,43,conflict,coordinate_mortality,6,final,0.03955802516620655,0.015752370011325116,0.7139107611548556,0.008187330230877104,0.003918962124454009,68.4514435695538,0.0,0.0,381
Qwen3-14B,43,conflict,global_projection,6,final,0.033659390544181496,0.015643233644336604,0.5879265091863517,0.0022886956088520524,-0.0019796724975710426,111.73753280839895,0.0,0.0,381
Qwen3-14B,43,conflict,unconstrained,6,final,0.03294602399960825,0.015517688202158498,0.5590551181102362,0.0015753290642788046,-0.00269303904214429,112.88976377952756,0.0,0.0,381
Qwen3-14B,43,none,aligned,0,aligned,0.04153850533708617,0.020773488402294864,0.6614173228346457,0.010167810401756724,0.0058994422953336295,179.33333333333334,0.0,0.0,381
Qwen3-14B,44,benign,coordinate_mortality,6,final,0.02594766026274778,0.014073109380427412,0.26246719160104987,-0.005423034672581669,-0.009691402779004763,5.4619422572178475,0.07349081364829396,0.0,381
Qwen3-14B,44,benign,global_projection,6,final,0.03591499464180604,0.018550308859038175,0.5695538057742782,0.004544299706476594,0.0002759316000534989,107.8477690288714,0.0,0.0,381
Qwen3-14B,44,benign,unconstrained,6,final,0.03528021211464574,0.01849818755070097,0.5538057742782152,0.003909517179316293,-0.00035885092710680145,122.71128608923884,0.0,0.0,381
Qwen3-14B,44,conflict,coordinate_mortality,6,final,0.03775221574379332,0.015248879090178902,0.6692913385826772,0.0063815208084638695,0.0021131527020407746,91.43832020997375,0.0,0.0,381
Qwen3-14B,44,conflict,global_projection,6,final,0.033863739156973334,0.01580654155078527,0.5590551181102362,0.002493044221643884,-0.001775323884779211,115.51443569553805,0.0,0.0,381
Qwen3-14B,44,conflict,unconstrained,6,final,0.03388046545428444,0.015700951847532726,0.5590551181102362,0.0025097705189549924,-0.0017585975874681026,111.99212598425197,0.0,0.0,381
Qwen3-14B,44,none,aligned,0,aligned,0.040090929999155554,0.020933415904572678,0.6299212598425197,0.00872023506382611,0.004451866957403015,182.37007874015748,0.0,0.0,381
Qwen3-8B,-1,none,base,-1,base,0.041988425286794744,0.01937215771400658,0.7060367454068242,0.010617730351465295,0.0063493622450422,281.755905511811,0.0,0.0,381
Qwen3-8B,42,benign,coordinate_mortality,6,final,0.03582819743605033,0.015282029158339872,0.5695538057742782,0.004457502500720877,0.00018913439429778204,21.587926509186353,0.0,0.0,381
Qwen3-8B,42,benign,global_projection,6,final,0.035570798765805614,0.016832392064761476,0.5669291338582677,0.004200103830476169,-6.82642759469257e-05,120.75853018372703,0.0,0.0,381
Qwen3-8B,42,benign,unconstrained,6,final,0.034814638206509145,0.016807534363089734,0.5406824146981627,0.003443943271179698,-0.0008244248352433968,134.249343832021,0.0,0.0,381
Qwen3-8B,42,conflict,coordinate_mortality,6,final,0.03490109258548912,0.014815104244311185,0.5590551181102362,0.003530397650159668,-0.0007379704562634269,23.133858267716537,0.0,0.0,381
Qwen3-8B,42,conflict,global_projection,6,final,0.032989818174110876,0.014861330059874346,0.5485564304461942,0.0016191232387814305,-0.0026492448676416645,117.5485564304462,0.0,0.0,381
