model,regime,condition,metric,mean,ci95_lower_exact_bootstrap,ci95_upper_exact_bootstrap,seeds,inference_role
Qwen3-14B,benign,coordinate_mortality,alignment_accuracy_change,0.09031697114308679,0.08842813124259315,0.09250975102186208,3,scale_replication
Qwen3-14B,benign,coordinate_mortality,alignment_margin_mean_change,0.22051293402910224,0.2123777411878108,0.22885581934824575,3,scale_replication
Qwen3-14B,benign,coordinate_mortality,shift_nll_improvement,0.18115974635641527,0.18028790225154073,0.1818663372402282,3,scale_replication
Qwen3-14B,benign,coordinate_mortality,relative_l2_drift,0.22975551585356388,0.22790738642215722,0.23126837636033687,3,scale_replication
Qwen3-14B,benign,coordinate_mortality,retained_update_norm_ratio,0.6991322239240011,0.6969888319571813,0.7015200793743134,3,scale_replication
Qwen3-14B,benign,global_projection,alignment_accuracy_change,-0.003763198852539044,-0.006498753527800229,-0.0017368560036023337,3,scale_replication
Qwen3-14B,benign,global_projection,alignment_margin_mean_change,-0.0012616838018099676,-0.002819954883307252,0.0007723286127050814,3,scale_replication
Qwen3-14B,benign,global_projection,shift_nll_improvement,0.20731118857923367,0.20644264535834916,0.2080870393579461,3,scale_replication
Qwen3-14B,benign,global_projection,relative_l2_drift,0.2630794445673625,0.2611806352933248,0.2647564356525739,3,scale_replication
Qwen3-14B,benign,global_projection,retained_update_norm_ratio,0.9999952514966329,0.9999935398499169,0.9999967614809673,3,scale_replication
Qwen3-14B,benign,unconstrained,alignment_accuracy_change,-0.005644808212916057,-0.007403371731440225,-0.004342168569564819,3,scale_replication
Qwen3-14B,benign,unconstrained,alignment_margin_mean_change,-0.001973723371823668,-0.003545323821405628,0.00013695669670897066,3,scale_replication
Qwen3-14B,benign,unconstrained,shift_nll_improvement,0.20733436958778295,0.20648412934154922,0.20807745495775642,3,scale_replication
Qwen3-14B,benign,unconstrained,relative_l2_drift,0.2630175054073334,0.2611415301760037,0.26471639672915137,3,scale_replication
Qwen3-14B,benign,unconstrained,retained_update_norm_ratio,1.0,1.0,1.0,3,scale_replication
Qwen3-14B,conflict,coordinate_mortality,alignment_accuracy_change,0.02735561132431034,0.02268781165281933,0.031871444483598126,3,scale_replication
Qwen3-14B,conflict,coordinate_mortality,alignment_margin_mean_change,0.051516917844613264,0.043729452074815676,0.05984143009409296,3,scale_replication
Qwen3-14B,conflict,coordinate_mortality,shift_nll_improvement,0.3198124026519662,0.3012284596540584,0.3347506974435175,3,scale_replication
Qwen3-14B,conflict,coordinate_mortality,relative_l2_drift,0.37181272109349567,0.3697748924295107,0.3742785225311915,3,scale_replication
Qwen3-14B,conflict,coordinate_mortality,retained_update_norm_ratio,0.7173013289769491,0.6904757142066955,0.7391845812400182,3,scale_replication
Qwen3-14B,conflict,global_projection,alignment_accuracy_change,0.0017368594805399946,-0.0007960528135299554,0.003965821365515446,3,scale_replication
Qwen3-14B,conflict,global_projection,alignment_margin_mean_change,-0.0003458708524704338,-0.0016908261924982692,0.0007503122091293249,3,scale_replication
Qwen3-14B,conflict,global_projection,shift_nll_improvement,0.39367937138347336,0.39231008610575635,0.39528350414636176,3,scale_replication
Qwen3-14B,conflict,global_projection,relative_l2_drift,0.43376890818277986,0.4320453842480977,0.4354185019930203,3,scale_replication
Qwen3-14B,conflict,global_projection,retained_update_norm_ratio,1.0,1.0,1.0,3,scale_replication
Qwen3-14B,conflict,unconstrained,alignment_accuracy_change,0.00014474987983705465,-0.00164276858170826,0.002438851197560637,3,scale_replication
Qwen3-14B,conflict,unconstrained,alignment_margin_mean_change,-0.0003980876257022349,-0.0015659186368187682,0.0005486429668963216,3,scale_replication
Qwen3-14B,conflict,unconstrained,shift_nll_improvement,0.3938464046788405,0.392461507885581,0.3953915971458182,3,scale_replication
Qwen3-14B,conflict,unconstrained,relative_l2_drift,0.4338538646697998,0.4320973133047421,0.4354933092991511,3,scale_replication
Qwen3-14B,conflict,unconstrained,retained_update_norm_ratio,1.0,1.0,1.0,3,scale_replication
Qwen3-8B,benign,coordinate_mortality,alignment_accuracy_change,0.060728239161627666,0.05812294142586847,0.06351961834090102,7,primary
Qwen3-8B,benign,coordinate_mortality,alignment_margin_mean_change,0.11028178169258994,0.1066253757370369,0.1135655159928968,7,primary
Qwen3-8B,benign,coordinate_mortality,shift_nll_improvement,0.1970724408454438,0.19574367228950182,0.1981984417995822,7,primary
Qwen3-8B,benign,coordinate_mortality,relative_l2_drift,0.2187198506934302,0.2175512909889221,0.21972599412713728,7,primary
