id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-14B,43,none,aligned,0,aligned,20,0.0,0.0,0.02161199413239956,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.0017624888569116592,0.0030611008405685425
test:1068,Qwen3-14B,43,none,aligned,0,aligned,15,0.0,0.0,0.04246308282017708,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,-1.796707510948181e-05,0.0003813207149505615
test:913,Qwen3-14B,43,none,aligned,0,aligned,21,0.0,0.0,0.007094720844179392,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,0.0,-0.009609624277800322,-0.009654767345637083
test:1076,Qwen3-14B,43,none,aligned,0,aligned,21,0.0,0.0,0.02286936342716217,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,0.0,-0.002954641357064247,-0.014370657503604889
test:563,Qwen3-14B,43,none,aligned,0,aligned,28,0.0,0.0,0.02630523219704628,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-5.8298930525779724e-05,0.010238807648420334
test:463,Qwen3-14B,43,none,aligned,0,aligned,34,0.0,0.0,0.009860735386610031,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.00962534174323082,-0.011965293437242508
test:1684,Qwen3-14B,43,none,aligned,0,aligned,33,0.0,0.0,0.026563504710793495,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,0.0,-0.007462536916136742,-0.009563455358147621
test:2243,Qwen3-14B,43,none,aligned,0,aligned,22,0.0,0.0,0.057403821498155594,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,1.0,0.015102334320545197,0.007636018097400665
test:1507,Qwen3-14B,43,none,aligned,0,aligned,32,0.0,0.0,0.048398785293102264,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,1.0,0.0019354484975337982,-0.013506267219781876
test:797,Qwen3-14B,43,none,aligned,0,aligned,26,0.0,0.0,0.04718652367591858,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,1.0,0.01837855391204357,0.017279746010899544
test:991,Qwen3-14B,43,none,aligned,0,aligned,28,0.0,0.0,0.049419816583395004,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,1.0,0.017493009567260742,0.01850808784365654
test:109,Qwen3-14B,43,none,aligned,0,aligned,33,0.0,0.0,0.013575044460594654,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,0.0,-0.003752182237803936,-0.015988067723810673
test:1456,Qwen3-14B,43,none,aligned,0,aligned,12,0.0,0.0,0.03322358801960945,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,0.0,-0.002456892281770706,-0.007453929632902145
test:1171,Qwen3-14B,43,none,aligned,0,aligned,31,0.0,0.0,0.011401318944990635,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.02143507730215788,-0.015590851195156574
test:1045,Qwen3-14B,43,none,aligned,0,aligned,30,0.0,0.0,0.034531306475400925,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.018366100266575813,-0.0066316500306129456
test:897,Qwen3-14B,43,none,aligned,0,aligned,46,0.0,0.0,0.015650155022740364,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,0.0,-0.014843007549643517,-0.015604866668581963
test:427,Qwen3-14B,43,none,aligned,0,aligned,40,0.0,0.0,0.024282054975628853,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,0.0,-0.008511485531926155,-0.006669448688626289
test:536,Qwen3-14B,43,none,aligned,0,aligned,26,0.0,0.0,0.0430465042591095,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,1.0,0.018920792266726494,0.00274517759680748
test:1556,Qwen3-14B,43,none,aligned,0,aligned,49,0.0,0.0,0.030508602038025856,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.0011197049170732498,0.008617673069238663
test:1638,Qwen3-14B,43,none,aligned,0,aligned,42,0.0,0.0,0.032491933554410934,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,1.0,0.006771689280867577,0.003923159092664719
test:481,Qwen3-14B,43,none,aligned,0,aligned,41,0.0,0.0,0.017134223133325577,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,0.0,-0.0189201757311821,-0.01290532574057579
test:640,Qwen3-14B,43,none,aligned,0,aligned,46,0.0,0.0,0.013783085159957409,0.03218264877796173,0.02387271448969841,0.0,0.0,1.0,0.0,0.0,-0.010089629329741001,-0.018399563618004322
test:903,Qwen3-14B,43,none,aligned,0,aligned,33,0.0,0.0,0.060758210718631744,0.026822740212082863,0.03154570981860161,0.0,0.0,0.0,0.0,1.0,0.029212500900030136,0.03393547050654888
test:466,Qwen3-14B,43,none,aligned,0,aligned,23,0.0,0.0,0.046450175344944,0.03662761300802231,0.03060600347816944,0.0,0.0,1.0,0.0,1.0,0.01584417186677456,0.009822562336921692
test:787,Qwen3-14B,43,none,aligned,0,aligned,42,0.0,0.0,0.039265718311071396,0.03477362170815468,0.022873124107718468,0.0,0.0,1.0,0.0,1.0,0.016392594203352928,0.0044920966029167175
test:63,Qwen3-14B,43,none,aligned,0,aligned,48,0.0,0.0,0.043275706470012665,0.047407366335392,0.02268475852906704,0.0,0.0,1.0,0.0,1.0,0.020590947940945625,-0.0041316598653793335
test:1639,Qwen3-14B,43,none,aligned,0,aligned,15,0.0,0.0,0.024556029587984085,0.012345847673714161,0.01274794526398182,0.0,0.0,0.0,0.0,1.0,0.011808084324002266,0.012210181914269924
test:2265,Qwen3-14B,43,none,aligned,0,aligned,38,0.0,0.0,0.040748775005340576,0.018142802640795708,0.02050267904996872,0.0,0.0,0.0,0.0,1.0,0.020246095955371857,0.02260597236454487
test:1745,Qwen3-14B,43,none,aligned,0,aligned,43,0.0,0.0,0.02213921770453453,0.036397114396095276,0.036690980195999146,0.0,0.0,0.0,0.0,0.0,-0.014551762491464615,-0.014257896691560745
test:9,Qwen3-14B,43,none,aligned,0,aligned,54,0.0,0.0,0.024620559066534042,0.08137275278568268,0.06592001020908356,0.0,0.0,1.0,0.0,0.0,-0.041299451142549515,-0.056752193719148636
test:1279,Qwen3-14B,43,none,aligned,0,aligned,64,0.0,0.0,0.033506739884614944,0.03613991662859917,0.03790043666958809,0.0,0.0,0.0,0.0,0.0,-0.0043936967849731445,-0.0026331767439842224
test:576,Qwen3-14B,43,none,aligned,0,aligned,23,0.0,0.0,0.07043801248073578,0.057423077523708344,0.04822539538145065,0.0,0.0,1.0,0.0,1.0,0.022212617099285126,0.013014934957027435
test:2207,Qwen3-14B,43,none,aligned,0,aligned,58,0.0,0.0,0.02296212501823902,0.04054011404514313,0.038929570466279984,0.0,0.0,1.0,0.0,0.0,-0.015967445448040962,-0.017577989026904106
test:2168,Qwen3-14B,43,none,aligned,0,aligned,52,0.0,0.0,0.006580246612429619,0.049067962914705276,0.02239176258444786,0.0,0.0,1.0,0.0,0.0,-0.015811515972018242,-0.04248771630227566
test:805,Qwen3-14B,43,none,aligned,0,aligned,73,0.0,0.0,0.07626060396432877,0.07015776634216309,0.03743727505207062,0.0,0.0,1.0,0.0,1.0,0.03882332891225815,0.00610283762216568
test:1197,Qwen3-14B,43,none,aligned,0,aligned,50,0.0,0.0,0.036866310983896255,0.023731593042612076,0.021593812853097916,0.0,0.0,1.0,0.0,1.0,0.01527249813079834,0.01313471794128418
test:364,Qwen3-14B,43,none,aligned,0,aligned,33,0.0,0.0,0.04765364155173302,0.031096089631319046,0.04715454950928688,0.0,0.0,0.0,0.0,1.0,0.0004990920424461365,0.01655755192041397
test:1644,Qwen3-14B,43,none,aligned,0,aligned,54,0.0,0.0,0.02664901316165924,0.03148322552442551,0.03970971331000328,0.0,0.0,0.0,0.0,0.0,-0.01306070014834404,-0.004834212362766266
test:91,Qwen3-14B,43,none,aligned,0,aligned,76,0.0,0.0,0.05998960882425308,0.04608168452978134,0.061679743230342865,0.0,0.0,0.0,0.0,0.0,-0.0016901344060897827,0.01390792429447174
test:328,Qwen3-14B,43,none,aligned,0,aligned,38,0.0,0.0,0.03883782774209976,0.03176862373948097,0.02254372276365757,0.0,0.0,1.0,0.0,1.0,0.016294104978442192,0.00706920400261879
test:205,Qwen3-14B,43,none,aligned,0,aligned,34,0.0,0.0,0.050772253423929214,0.045384448021650314,0.03670845180749893,0.0,0.0,1.0,0.0,1.0,0.014063801616430283,0.0053878054022789
test:1797,Qwen3-14B,43,none,aligned,0,aligned,54,0.0,0.0,0.015539191663265228,0.026317769661545753,0.02208745665848255,0.0,0.0,1.0,0.0,0.0,-0.006548264995217323,-0.010778577998280525
test:1072,Qwen3-14B,43,none,aligned,0,aligned,20,0.0,0.0,0.05473367124795914,0.041201069951057434,0.01803530752658844,0.0,0.0,1.0,0.0,1.0,0.0366983637213707,0.013532601296901703
