id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-8B,44,benign,unconstrained,6,final,5,0.0,0.0,0.018550893291831017,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.004823589697480202,0.0
test:1068,Qwen3-8B,44,benign,unconstrained,6,final,15,0.0,0.0,0.04208176210522652,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,-0.00039928779006004333,0.0
test:913,Qwen3-8B,44,benign,unconstrained,6,final,29,0.0,0.0,0.009658080525696278,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,0.0,-0.007046264596283436,-0.007091407664120197
test:1076,Qwen3-8B,44,benign,unconstrained,6,final,28,0.0,0.0,0.024327918887138367,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,0.0,-0.0014960858970880508,-0.012912102043628693
test:563,Qwen3-8B,44,benign,unconstrained,6,final,25,0.0,0.0,0.012303859926760197,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.014059671200811863,-0.0037625646218657494
test:463,Qwen3-8B,44,benign,unconstrained,6,final,28,0.0,0.0,0.009439250454306602,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.010046826675534248,-0.012386778369545937
test:1684,Qwen3-8B,44,benign,unconstrained,6,final,22,0.0,0.0,0.04732184484601021,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,1.0,0.013295803219079971,0.011194884777069092
test:2243,Qwen3-8B,44,benign,unconstrained,6,final,35,0.0,0.0,0.04393201693892479,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,1.0,0.001630529761314392,-0.005835786461830139
test:1507,Qwen3-8B,44,benign,unconstrained,6,final,43,0.0,0.0,0.056928664445877075,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,1.0,0.010465327650308609,-0.004976388067007065
test:797,Qwen3-8B,44,benign,unconstrained,6,final,32,0.0,0.0,0.026110803708434105,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,0.0,-0.0026971660554409027,-0.0037959739565849304
test:991,Qwen3-8B,44,benign,unconstrained,6,final,32,0.0,0.0,0.04027629643678665,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,1.0,0.00834948942065239,0.009364567697048187
test:109,Qwen3-8B,44,benign,unconstrained,6,final,40,0.0,0.0,0.00531348492950201,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,0.0,-0.01201374176889658,-0.024249627254903316
test:1456,Qwen3-8B,44,benign,unconstrained,6,final,32,0.0,0.0,0.02053394541144371,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,0.0,-0.015146534889936447,-0.020143572241067886
test:1171,Qwen3-8B,44,benign,unconstrained,6,final,30,0.0,0.0,0.022032445296645164,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.01080395095050335,-0.004959724843502045
test:1045,Qwen3-8B,44,benign,unconstrained,6,final,40,0.0,0.0,0.05128323659300804,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.03511803038418293,0.010120280086994171
test:897,Qwen3-8B,44,benign,unconstrained,6,final,28,0.0,0.0,0.03235073387622833,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,1.0,0.001857571303844452,0.0010957121849060059
test:427,Qwen3-8B,44,benign,unconstrained,6,final,35,0.0,0.0,0.03462357819080353,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,1.0,0.00183003768324852,0.0036720745265483856
test:536,Qwen3-8B,44,benign,unconstrained,6,final,45,0.0,0.0,0.012432536110281944,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,0.0,-0.011693175882101059,-0.027868790552020073
test:1556,Qwen3-8B,44,benign,unconstrained,6,final,33,0.0,0.0,0.02873501367866993,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.0028932932764291763,0.006844084709882736
test:1638,Qwen3-8B,44,benign,unconstrained,6,final,31,0.0,0.0,0.00918815191835165,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,0.0,-0.016532092355191708,-0.019380622543394566
test:481,Qwen3-8B,44,benign,unconstrained,6,final,49,0.0,0.0,0.008990271016955376,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,0.0,-0.0270641278475523,-0.02104927785694599
test:640,Qwen3-8B,44,benign,unconstrained,6,final,10,0.0,0.0,0.02680145762860775,0.03218264877796173,0.02387271448969841,0.0,0.0,1.0,0.0,1.0,0.00292874313890934,-0.005381191149353981
test:903,Qwen3-8B,44,benign,unconstrained,6,final,38,0.0,0.0,0.03817465156316757,0.026822740212082863,0.03154570981860161,0.0,0.0,0.0,0.0,1.0,0.006628941744565964,0.01135191135108471
test:466,Qwen3-8B,44,benign,unconstrained,6,final,30,0.0,0.0,0.03508710116147995,0.03662761300802231,0.03060600347816944,0.0,0.0,1.0,0.0,1.0,0.004481097683310509,-0.0015405118465423584
test:787,Qwen3-8B,44,benign,unconstrained,6,final,19,0.0,0.0,0.044537149369716644,0.03477362170815468,0.022873124107718468,0.0,0.0,1.0,0.0,1.0,0.021664025261998177,0.009763527661561966
test:63,Qwen3-8B,44,benign,unconstrained,6,final,51,0.0,0.0,0.010456002317368984,0.047407366335392,0.02268475852906704,0.0,0.0,1.0,0.0,0.0,-0.012228756211698055,-0.036951364018023014
test:1639,Qwen3-8B,44,benign,unconstrained,6,final,58,0.0,0.0,0.00966162234544754,0.012345847673714161,0.01274794526398182,0.0,0.0,0.0,0.0,0.0,-0.003086322918534279,-0.0026842253282666206
test:2265,Qwen3-8B,44,benign,unconstrained,6,final,61,0.0,0.0,0.028670569881796837,0.018142802640795708,0.02050267904996872,0.0,0.0,0.0,0.0,1.0,0.008167890831828117,0.01052776724100113
test:1745,Qwen3-8B,44,benign,unconstrained,6,final,52,0.0,0.0,0.016493944451212883,0.036397114396095276,0.036690980195999146,0.0,0.0,0.0,0.0,0.0,-0.020197035744786263,-0.019903169944882393
