id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-8B,44,conflict,unconstrained,6,final,5,0.0,0.0,0.018550893291831017,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.004823589697480202,0.0
test:1068,Qwen3-8B,44,conflict,unconstrained,6,final,15,0.0,0.0,0.04208176210522652,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,-0.00039928779006004333,0.0
test:913,Qwen3-8B,44,conflict,unconstrained,6,final,21,0.0,0.0,0.017270809039473534,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,1.0,0.0005664639174938202,0.0005213208496570587
test:1076,Qwen3-8B,44,conflict,unconstrained,6,final,29,0.0,0.0,0.013204540126025677,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,0.0,-0.01261946465820074,-0.024035480804741383
test:563,Qwen3-8B,44,conflict,unconstrained,6,final,22,0.0,0.0,0.026181261986494064,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.0001822691410779953,0.010114837437868118
test:463,Qwen3-8B,44,conflict,unconstrained,6,final,39,0.0,0.0,0.014247116632759571,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.00523896049708128,-0.007578912191092968
test:1684,Qwen3-8B,44,conflict,unconstrained,6,final,22,0.0,0.0,0.02513056807219982,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,0.0,-0.008895473554730415,-0.010996391996741295
test:2243,Qwen3-8B,44,conflict,unconstrained,6,final,37,0.0,0.0,0.015963397920131683,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,0.0,-0.026338089257478714,-0.033804405480623245
test:1507,Qwen3-8B,44,conflict,unconstrained,6,final,33,0.0,0.0,0.03938857465982437,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,0.0,-0.007074762135744095,-0.02251647785305977
test:797,Qwen3-8B,44,conflict,unconstrained,6,final,17,0.0,0.0,0.04289805144071579,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,1.0,0.014090081676840782,0.012991273775696754
test:991,Qwen3-8B,44,conflict,unconstrained,6,final,27,0.0,0.0,0.024375122040510178,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,0.0,-0.0075516849756240845,-0.006536606699228287
test:109,Qwen3-8B,44,conflict,unconstrained,6,final,28,0.0,0.0,0.019935423508286476,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,1.0,0.002608196809887886,-0.00962768867611885
test:1456,Qwen3-8B,44,conflict,unconstrained,6,final,32,0.0,0.0,0.020769163966178894,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,0.0,-0.014911316335201263,-0.019908353686332703
test:1171,Qwen3-8B,44,conflict,unconstrained,6,final,32,0.0,0.0,0.01358833909034729,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.019248057156801224,-0.013403831049799919
test:1045,Qwen3-8B,44,conflict,unconstrained,6,final,34,0.0,0.0,0.02524099126458168,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.009075785055756569,-0.01592196524143219
test:897,Qwen3-8B,44,conflict,unconstrained,6,final,27,0.0,0.0,0.01550828292965889,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,0.0,-0.01498487964272499,-0.015746738761663437
test:427,Qwen3-8B,44,conflict,unconstrained,6,final,35,0.0,0.0,0.03462357819080353,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,1.0,0.00183003768324852,0.0036720745265483856
test:536,Qwen3-8B,44,conflict,unconstrained,6,final,42,0.0,0.0,0.01808633841574192,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,0.0,-0.006039373576641083,-0.022214988246560097
test:1556,Qwen3-8B,44,conflict,unconstrained,6,final,31,0.0,0.0,0.023341959342360497,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.00828634761273861,0.0014510303735733032
test:1638,Qwen3-8B,44,conflict,unconstrained,6,final,34,0.0,0.0,0.020304497331380844,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,0.0,-0.005415746942162514,-0.008264277130365372
