id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-8B,45,benign,coordinate_mortality,6,final,9,0.0,0.0,0.024778639897704124,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,1.0,0.0014041569083929062,0.006227746605873108
test:1068,Qwen3-8B,45,benign,coordinate_mortality,6,final,15,0.0,0.0,0.042880911380052567,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,1.0,0.00039986148476600647,0.0007991492748260498
test:913,Qwen3-8B,45,benign,coordinate_mortality,6,final,9,0.0,0.0,0.01902022399008274,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,1.0,0.0023158788681030273,0.002270735800266266
test:1076,Qwen3-8B,45,benign,coordinate_mortality,6,final,10,0.0,0.0,0.03385230153799057,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,1.0,0.008028296753764153,-0.0033877193927764893
test:563,Qwen3-8B,45,benign,coordinate_mortality,6,final,29,0.0,0.0,0.006356143392622471,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.02000738773494959,-0.009710281156003475
test:463,Qwen3-8B,45,benign,coordinate_mortality,6,final,9,0.0,0.0,0.017560360953211784,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.0019257161766290665,-0.004265667870640755
test:1684,Qwen3-8B,45,benign,coordinate_mortality,6,final,31,0.0,0.0,0.02151053212583065,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,0.0,-0.012515509501099586,-0.014616427943110466
test:2243,Qwen3-8B,45,benign,coordinate_mortality,6,final,23,0.0,0.0,0.05701643228530884,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,1.0,0.01471494510769844,0.007248628884553909
test:1507,Qwen3-8B,45,benign,coordinate_mortality,6,final,24,0.0,0.0,0.041848618537187576,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,0.0,-0.00461471825838089,-0.020056433975696564
test:797,Qwen3-8B,45,benign,coordinate_mortality,6,final,11,0.0,0.0,0.0219488013535738,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,0.0,-0.0068591684103012085,-0.007957976311445236
test:991,Qwen3-8B,45,benign,coordinate_mortality,6,final,12,0.0,0.0,0.03202749416232109,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,1.0,0.00010068714618682861,0.0011157654225826263
test:109,Qwen3-8B,45,benign,coordinate_mortality,6,final,3,0.0,0.0,0.027773084118962288,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,1.0,0.010445857420563698,-0.001790028065443039
test:1456,Qwen3-8B,45,benign,coordinate_mortality,6,final,3,0.0,0.0,0.029290277510881424,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,0.0,-0.0063902027904987335,-0.011387240141630173
test:1171,Qwen3-8B,45,benign,coordinate_mortality,6,final,5,0.0,0.0,0.018965544179081917,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.013870852068066597,-0.008026625961065292
test:1045,Qwen3-8B,45,benign,coordinate_mortality,6,final,10,0.0,0.0,0.041417621076107025,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.025252414867281914,0.0002546645700931549
test:897,Qwen3-8B,45,benign,coordinate_mortality,6,final,9,0.0,0.0,0.019108321517705917,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,0.0,-0.011384841054677963,-0.01214670017361641
test:427,Qwen3-8B,45,benign,coordinate_mortality,6,final,4,0.0,0.0,0.032327864319086075,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,0.0,-0.0004656761884689331,0.0013763606548309326
test:536,Qwen3-8B,45,benign,coordinate_mortality,6,final,33,0.0,0.0,0.04245429486036301,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,1.0,0.018328582867980003,0.0021529681980609894
test:1556,Qwen3-8B,45,benign,coordinate_mortality,6,final,12,0.0,0.0,0.02688480354845524,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.0047435034066438675,0.004993874579668045
test:1638,Qwen3-8B,45,benign,coordinate_mortality,6,final,23,0.0,0.0,0.03751346468925476,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,1.0,0.011793220415711403,0.008944690227508545
test:481,Qwen3-8B,45,benign,coordinate_mortality,6,final,27,0.0,0.0,0.04204230010509491,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,1.0,0.0059879012405872345,0.012002751231193542
test:640,Qwen3-8B,45,benign,coordinate_mortality,6,final,4,0.0,0.0,0.02387271448969841,0.03218264877796173,0.02387271448969841,0.0,0.0,1.0,0.0,0.0,0.0,-0.008309934288263321
test:903,Qwen3-8B,45,benign,coordinate_mortality,6,final,19,0.0,0.0,0.03742527589201927,0.026822740212082863,0.03154570981860161,0.0,0.0,0.0,0.0,1.0,0.005879566073417664,0.010602535679936409
test:466,Qwen3-8B,45,benign,coordinate_mortality,6,final,9,0.0,0.0,0.025601275265216827,0.03662761300802231,0.03060600347816944,0.0,0.0,1.0,0.0,0.0,-0.005004728212952614,-0.011026337742805481
test:787,Qwen3-8B,45,benign,coordinate_mortality,6,final,29,0.0,0.0,0.039264243096113205,0.03477362170815468,0.022873124107718468,0.0,0.0,1.0,0.0,1.0,0.016391118988394737,0.004490621387958527
test:63,Qwen3-8B,45,benign,coordinate_mortality,6,final,10,0.0,0.0,0.03174899145960808,0.047407366335392,0.02268475852906704,0.0,0.0,1.0,0.0,1.0,0.009064232930541039,-0.01565837487578392
test:1639,Qwen3-8B,45,benign,coordinate_mortality,6,final,4,0.0,0.0,0.018474550917744637,0.012345847673714161,0.01274794526398182,0.0,0.0,0.0,0.0,1.0,0.005726605653762817,0.006128703244030476
