id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-8B,47,benign,global_projection,6,final,5,0.0,0.0,0.018550893291831017,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.004823589697480202,0.0
test:1068,Qwen3-8B,47,benign,global_projection,6,final,15,0.0,0.0,0.04248104989528656,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,0.0,0.00039928779006004333
test:913,Qwen3-8B,47,benign,global_projection,6,final,38,0.0,0.0,0.009863671846687794,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,0.0,-0.00684067327529192,-0.006885816343128681
test:1076,Qwen3-8B,47,benign,global_projection,6,final,28,0.0,0.0,0.02308792434632778,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,0.0,-0.002736080437898636,-0.014152096584439278
test:563,Qwen3-8B,47,benign,global_projection,6,final,25,0.0,0.0,0.015797166153788567,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.010566364973783493,-0.00026925839483737946
test:463,Qwen3-8B,47,benign,global_projection,6,final,29,0.0,0.0,0.01792110502719879,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.0015649721026420593,-0.0039049237966537476
test:1684,Qwen3-8B,47,benign,global_projection,6,final,29,0.0,0.0,0.026147998869419098,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,0.0,-0.007878042757511139,-0.009978961199522018
test:2243,Qwen3-8B,47,benign,global_projection,6,final,39,0.0,0.0,0.05555352941155434,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,1.0,0.01325204223394394,0.005785726010799408
test:1507,Qwen3-8B,47,benign,global_projection,6,final,36,0.0,0.0,0.026120707392692566,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,0.0,-0.0203426294028759,-0.035784345120191574
test:797,Qwen3-8B,47,benign,global_projection,6,final,5,0.0,0.0,0.03191756457090378,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,1.0,0.0031095948070287704,0.0020107869058847427
test:991,Qwen3-8B,47,benign,global_projection,6,final,40,0.0,0.0,0.03091157227754593,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,0.0,-0.0010152347385883331,-1.564621925354004e-07
test:109,Qwen3-8B,47,benign,global_projection,6,final,23,0.0,0.0,0.033598896116018295,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,1.0,0.016271669417619705,0.0040357839316129684
test:1456,Qwen3-8B,47,benign,global_projection,6,final,15,0.0,0.0,0.0394301675260067,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,1.0,0.003749687224626541,-0.001247350126504898
test:1171,Qwen3-8B,47,benign,global_projection,6,final,30,0.0,0.0,0.012467408552765846,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.020368987694382668,-0.014524761587381363
test:1045,Qwen3-8B,47,benign,global_projection,6,final,36,0.0,0.0,0.022841695696115494,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.006676489487290382,-0.018321260809898376
test:897,Qwen3-8B,47,benign,global_projection,6,final,28,0.0,0.0,0.03153492137789726,0.03125502169132233,0.03049316257238388,0.0,0.0,1.0,0.0,1.0,0.001041758805513382,0.0002798996865749359
test:427,Qwen3-8B,47,benign,global_projection,6,final,36,0.0,0.0,0.02935553528368473,0.030951503664255142,0.03279354050755501,0.0,0.0,0.0,0.0,0.0,-0.0034380052238702774,-0.0015959683805704117
test:536,Qwen3-8B,47,benign,global_projection,6,final,34,0.0,0.0,0.024032410234212875,0.04030132666230202,0.024125711992383003,0.0,0.0,1.0,0.0,0.0,-9.330175817012787e-05,-0.016268916428089142
test:1556,Qwen3-8B,47,benign,global_projection,6,final,43,0.0,0.0,0.031404461711645126,0.021890928968787193,0.031628306955099106,0.0,0.0,0.0,0.0,0.0,-0.0002238452434539795,0.009513532742857933
test:1638,Qwen3-8B,47,benign,global_projection,6,final,42,0.0,0.0,0.022728461772203445,0.028568774461746216,0.025720244273543358,0.0,0.0,1.0,0.0,0.0,-0.0029917825013399124,-0.00584031268954277
test:481,Qwen3-8B,47,benign,global_projection,6,final,35,0.0,0.0,0.010547981597483158,0.030039548873901367,0.036054398864507675,0.0,0.0,0.0,0.0,0.0,-0.025506417267024517,-0.01949156727641821
