model,seed,regime,condition,phase,checkpoint_kind,judge_generated_mean,judge_generated_std,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen,generated_length_chars_mean,generated_empty_fraction,judge_input_at_max_length_fraction,judge_examples
Qwen3-8B,42,benign,norm_matched,6,final,0.03538382366367462,0.017689698760986427,0.5643044619422573,0.004013128728345171,-0.00025523937807792404,128.53280839895012,0.0,0.0,381
Qwen3-8B,42,conflict,norm_matched,6,final,0.03335895390387898,0.015040581979737302,0.5616797900262467,0.0019882589685495363,-0.0022801091378735587,118.08136482939632,0.0,0.0,381
Qwen3-8B,43,benign,norm_matched,6,final,0.03375573440337568,0.018451764285383296,0.47506561679790027,0.002385039468046236,-0.0018833286383768588,138.53280839895012,0.0,0.0,381
Qwen3-8B,43,conflict,norm_matched,6,final,0.03208310292236839,0.015302420342415295,0.5511811023622047,0.0007124079870389472,-0.003555960119384148,117.11811023622047,0.0,0.0,381
Qwen3-8B,44,benign,norm_matched,6,final,0.03521521348662655,0.01828345158977016,0.5511811023622047,0.003844518551297102,-0.00042384955512599293,144.23884514435696,0.0,0.0,381
Qwen3-8B,44,conflict,norm_matched,6,final,0.032718873593780236,0.015509395372192558,0.5459317585301837,0.0013481786584507874,-0.0029201894479723074,114.43569553805774,0.0,0.0,381
Qwen3-8B,45,benign,norm_matched,6,final,0.035019581291086364,0.017592819661656954,0.5511811023622047,0.0036488863557569188,-0.0006194817506661761,123.97112860892389,0.0,0.0,381
Qwen3-8B,45,conflict,norm_matched,6,final,0.03314615640755048,0.01496807321618736,0.5433070866141733,0.001775461472221039,-0.002492906634202056,111.92125984251969,0.0,0.0,381
Qwen3-8B,46,benign,norm_matched,6,final,0.03459096941033628,0.018942898889974438,0.5196850393700787,0.003220274475006829,-0.0010480936314162658,143.8005249343832,0.0,0.0,381
Qwen3-8B,46,conflict,norm_matched,6,final,0.03293430931674282,0.0153211494639167,0.5196850393700787,0.0015636143814133764,-0.0027047537250097188,113.5485564304462,0.0,0.0,381
Qwen3-8B,47,benign,norm_matched,6,final,0.03614087800527104,0.018774269577776455,0.5643044619422573,0.004770183069941592,0.0005018149635184977,125.98425196850394,0.0,0.0,381
Qwen3-8B,47,conflict,norm_matched,6,final,0.033559451709572335,0.015713817014099952,0.5826771653543307,0.002188756774242887,-0.002079611332180208,118.71128608923884,0.0,0.0,381
Qwen3-8B,48,benign,norm_matched,6,final,0.03520604635813711,0.018736407509941495,0.5118110236220472,0.0038353514228076637,-0.00043301668361543123,142.40682414698162,0.0,0.0,381
Qwen3-8B,48,conflict,norm_matched,6,final,0.03296331791702189,0.01577889639045355,0.5459317585301837,0.0015926229816924395,-0.0026757451247306557,110.68766404199475,0.0,0.0,381
