id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2202,Qwen3-8B,42,benign,norm_matched,6,final,5,0.0,0.0,0.018550893291831017,0.018550893291831017,0.023374482989311218,0.0,0.0,0.0,0.0,0.0,-0.004823589697480202,0.0
test:1068,Qwen3-8B,42,benign,norm_matched,6,final,30,0.0,0.0,0.018765505403280258,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0,0.0,-0.023715544492006302,-0.02331625670194626
test:913,Qwen3-8B,42,benign,norm_matched,6,final,14,0.0,0.0,0.015488622710108757,0.016749488189816475,0.016704345121979713,0.0,0.0,1.0,0.0,0.0,-0.0012157224118709564,-0.001260865479707718
test:1076,Qwen3-8B,42,benign,norm_matched,6,final,22,0.0,0.0,0.026221875101327896,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0,1.0,0.0003978703171014786,-0.011018145829439163
test:563,Qwen3-8B,42,benign,norm_matched,6,final,24,0.0,0.0,0.011967192403972149,0.016066424548625946,0.02636353112757206,0.0,0.0,0.0,0.0,0.0,-0.01439633872359991,-0.004099232144653797
test:463,Qwen3-8B,42,benign,norm_matched,6,final,34,0.0,0.0,0.013966953381896019,0.02182602882385254,0.01948607712984085,0.0,0.0,1.0,0.0,0.0,-0.005519123747944832,-0.00785907544195652
test:1684,Qwen3-8B,42,benign,norm_matched,6,final,28,0.0,0.0,0.041455816477537155,0.036126960068941116,0.03402604162693024,0.0,0.0,1.0,0.0,1.0,0.007429774850606918,0.005328856408596039
test:2243,Qwen3-8B,42,benign,norm_matched,6,final,35,0.0,0.0,0.024061432108283043,0.04976780340075493,0.0423014871776104,0.0,0.0,1.0,0.0,0.0,-0.018240055069327354,-0.025706371292471886
test:1507,Qwen3-8B,42,benign,norm_matched,6,final,19,0.0,0.0,0.05695492774248123,0.06190505251288414,0.046463336795568466,0.0,0.0,1.0,0.0,1.0,0.010491590946912766,-0.004950124770402908
test:797,Qwen3-8B,42,benign,norm_matched,6,final,5,0.0,0.0,0.03154617175459862,0.029906777665019035,0.028807969763875008,0.0,0.0,1.0,0.0,1.0,0.00273820199072361,0.0016393940895795822
test:991,Qwen3-8B,42,benign,norm_matched,6,final,13,0.0,0.0,0.033353835344314575,0.030911728739738464,0.03192680701613426,0.0,0.0,0.0,0.0,1.0,0.0014270283281803131,0.002442106604576111
test:109,Qwen3-8B,42,benign,norm_matched,6,final,45,0.0,0.0,0.0008593256934545934,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0,0.0,-0.016467901004943997,-0.028703786490950733
test:1456,Qwen3-8B,42,benign,norm_matched,6,final,15,0.0,0.0,0.0406775176525116,0.0406775176525116,0.03568048030138016,0.0,0.0,1.0,0.0,1.0,0.004997037351131439,0.0
test:1171,Qwen3-8B,42,benign,norm_matched,6,final,37,0.0,0.0,0.010604518465697765,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0,0.0,-0.02223187778145075,-0.016387651674449444
test:1045,Qwen3-8B,42,benign,norm_matched,6,final,38,0.0,0.0,0.046980906277894974,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0,1.0,0.030815700069069862,0.0058179497718811035
