model,seed,regime,phase,raw_first_order_alignment_change,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum_derived,cancellation_fraction,globally_nonharmful_but_positive_coordinate_risk
Qwen3-14B,42,benign,1,-0.0218203235417604,0.4576831459999084,0.0444448553025722,0.0662651788443326,0.802905638048975,1.0
Qwen3-14B,42,benign,2,-0.0016450444236397,0.4982104897499084,0.0270690508186817,0.0287140952423214,0.9705100099259243,1.0
Qwen3-14B,42,benign,3,-0.0013047065585851,0.4989959895610809,0.0213494673371315,0.0226541738957166,0.9703500319057425,1.0
Qwen3-14B,42,benign,4,-0.0015162252821028,0.4980712831020355,0.0209637694060802,0.022479994688183,0.9650991272576444,1.0
Qwen3-14B,42,benign,5,-0.0008371258154511,0.4991550147533417,0.0206546001136302,0.0214917259290813,0.9801376325280939,1.0
Qwen3-14B,42,benign,6,0.0006587777170352,0.5013617873191833,0.0218385905027389,0.0211798127857037,0.9846861420537152,0.0
Qwen3-14B,42,conflict,1,-0.0453643091022968,0.3654273450374603,0.0565544813871383,0.1019187904894351,0.7137415756921539,1.0
Qwen3-14B,42,conflict,2,-0.0036882702261209,0.4661006033420563,0.0619930513203144,0.0656813215464353,0.9711118986269057,1.0
Qwen3-14B,42,conflict,3,-0.001042288262397,0.4877781569957733,0.070063441991806,0.071105730254203,0.9926167431188118,1.0
Qwen3-14B,42,conflict,4,0.0011712728301063,0.4946641027927398,0.083385057747364,0.0822137849172577,0.9929270470055251,0.0
Qwen3-14B,42,conflict,5,-0.0010391836985945,0.4976870119571686,0.0869194194674491,0.0879586031660436,0.994057665549133,1.0
Qwen3-14B,42,conflict,6,-0.0006711387541145,0.4996302127838135,0.0813811421394348,0.0820522808935493,0.995893503656354,1.0
Qwen3-14B,43,benign,1,-0.0253340471535921,0.4562647342681885,0.048480249941349,0.0738142970949411,0.7928440166177287,1.0
Qwen3-14B,43,benign,2,-0.0029850227292627,0.4975744187831878,0.0281844679266214,0.031169490655884098,0.9497081104520881,1.0
Qwen3-14B,43,benign,3,0.0002606658090371,0.5031496286392212,0.0233027674257755,0.0230421016167384,0.9943755195683479,0.0
Qwen3-14B,43,benign,4,-0.0003521111211739,0.5013611912727356,0.0233085937798023,0.0236607049009762,0.992503377076865,1.0
Qwen3-14B,43,benign,5,-0.0013699112460017,0.4965591132640838,0.0235448107123374,0.0249147219583391,0.9717308201193064,1.0
Qwen3-14B,43,benign,6,0.000557507679332,0.5019147992134094,0.0241625756025314,0.0236050679231994,0.9883287590054198,0.0
Qwen3-14B,43,conflict,1,-0.0521882027387619,0.3561704158782959,0.0605414509773254,0.1127296537160873,0.6988060829236119,1.0
Qwen3-14B,43,conflict,2,-0.0025852527469396,0.463477224111557,0.0631119012832641,0.06569715403020371,0.9799295729586078,1.0
Qwen3-14B,43,conflict,3,-0.0030522956512868,0.481635719537735,0.0702073872089386,0.0732596828602254,0.978724764854992,1.0
Qwen3-14B,43,conflict,4,0.0012689395807683,0.4946829974651336,0.0763978064060211,0.0751288668252528,0.9916256355814561,0.0
