model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum,global_projection_activated,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,42,benign,norm_matched,0,0,0.48979589343070984,-0.013743591494858265,-0.016457319259643555,-2.302565574645996,-2.2888219356536865,2303,2.707981850829832,14.99897478095173,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,42,benign,norm_matched,1,819200,0.491098552942276,-0.0141682717949152,-0.011667013168334961,-2.2113444805145264,-2.197176218032837,2303,2.5678637906038695,13.0379428950087,577662,2.1318185329437256,0.07650164514780045,0.7698720064014196,2.5790710026258603,819200.0,-0.016027137637138367,-0.012289179489016533,-0.012289178557693958,0.053949158638715744,0.053949158638715744,2.7802467346191406,2.1318185329437256,0.7667731642723083,0.6484281420707703,0.0,0.45955967903137207,0.03665778040885925,0.05268491804599762,0.0,2.1318185329437256,0.7667731642723083,0.45955967903137207,0.0,0.0,0.10937885757084587,1.0
Qwen3-8B,42,benign,norm_matched,2,1638400,0.49196699261665344,-0.016735978424549103,-0.010634899139404297,-2.189173460006714,-2.1724371910095215,2303,2.5290134841909064,12.541128011017056,577662,3.413172483444214,0.12248383462429047,0.7623983927071094,2.515643054023094,819200.0,0.0006360127590596676,0.00047369441017508507,0.00047369441017508507,-0.0036849912721663713,-0.0036849912721663713,1.9903963804244995,1.4824224710464478,0.7447875738143921,0.5079737305641174,0.0,0.47999143600463867,0.021673722192645073,0.021037710830569267,0.0,1.4824225902557373,0.7447876334190369,0.47999143600463867,1.1920928955078125e-07,8.04151868261911e-08,0.10996931367844809,1.0
Qwen3-8B,42,benign,norm_matched,3,2457600,0.49196699261665344,-0.018167879432439804,-0.013784170150756836,-2.1711719036102295,-2.1530039310455322,2303,2.512339869054049,12.333755696526412,577662,4.3162736892700195,0.1548921912908554,0.763646899163723,2.5114069163627573,819200.0,0.0006275855703279376,0.00045762595254927874,0.0004576259816531092,-0.0039773257449269295,-0.003977326676249504,1.6170116662979126,1.1791003942489624,0.7291848659515381,0.43791112303733826,0.0,0.4884158670902252,0.018032032996416092,0.017404448240995407,0.0,1.179100513458252,0.7291849255561829,0.4884158670902252,1.1920928955078125e-07,1.0110188927078442e-07,0.11052044132884475,0.9999999403953552
Qwen3-8B,42,benign,norm_matched,4,3276800,0.49240121245384216,-0.019289931282401085,-0.01123356819152832,-2.1609156131744385,-2.1416261196136475,2303,2.503714779090108,12.227833395387258,577662,4.929896831512451,0.17691244184970856,0.7646435984969139,2.4987272806745024,819200.0,0.0009406671160832047,0.0006715561030432582,0.00067155621945858,-0.00651197787374258,-0.006511978805065155,1.3149405717849731,0.9387555122375488,0.7139148116111755,0.37618502974510193,0.0,0.4953489601612091,0.017043787986040115,0.016103118658065796,0.0,0.9387555122375488,0.7139148116111755,0.4953489601612091,0.0,0.0,0.11096083656229894,1.0
Qwen3-8B,42,benign,norm_matched,5,4096000,0.4915327727794647,-0.020540861412882805,-0.01723766326904297,-2.152902841567993,-2.132361888885498,2303,2.497846040171956,12.156281598428846,577662,5.440826416015625,0.19524747133255005,0.7654083912819624,2.488739194603113,819200.0,0.0005717625608667731,0.00040700435056351125,0.00040700435056351125,-0.0039036087691783905,-0.003903608536347747,1.2075015306472778,0.8595498204231262,0.7118415832519531,0.347951740026474,0.0,0.4953837990760803,0.01741265319287777,0.016840891912579536,0.0,0.8595498204231262,0.7118415832519531,0.4953837990760803,0.0,0.0,0.11136841832558275,1.0
Qwen3-8B,42,benign,norm_matched,6,4915200,0.4932696223258972,-0.02259034477174282,-0.010547637939453125,-2.149746894836426,-2.1271564960479736,2303,2.49360764410027,12.104867495887769,577662,5.85343074798584,0.21005402505397797,0.7660499531775713,2.47586642109236,819200.0,0.0009017151314765215,0.0006355880759656429,0.000635588017757982,-0.006304330658167601,-0.006304330658167601,1.093306541442871,0.7706342935562134,0.7048656940460205,0.3226722776889801,0.0,0.4981006383895874,0.017263080924749374,0.01636136695742607,0.0,0.7706342935562134,0.7048656940460205,0.4981006383895874,0.0,0.0,0.11172388019258506,1.0000001192092896
Qwen3-8B,42,conflict,norm_matched,0,0,0.48979589343070984,-0.013743591494858265,-0.016457319259643555,-2.302565574645996,-2.2888219356536865,2303,2.263833523610398,9.619896671488302,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,42,conflict,norm_matched,1,819200,0.4915327727794647,-0.014774749055504799,-0.017552852630615234,-1.921217918395996,-1.9064428806304932,2303,1.946716196076282,7.005644603749185,109575,4.757549285888672,0.17072764039039612,0.7698720064014196,1.9663887934696687,819200.0,-0.038950227200984955,-0.03458371013402939,-0.03458371013402939,0.0680299773812294,0.0680299773812294,5.358234882354736,4.757549285888672,0.887894868850708,0.6006855964660645,0.0,0.35510319471359253,0.04508219659328461,0.08403243124485016,0.0,4.757549285888672,0.887894868850708,0.35510319471359253,0.0,0.0,0.11138071778623271,0.9999999403953552
Qwen3-8B,42,conflict,norm_matched,2,1638400,0.4950065016746521,-0.013330558314919472,-0.008139371871948242,-1.8994688987731934,-1.8861384391784668,2303,1.926331501638076,6.864282387009959,109575,6.577759742736816,0.23604702949523926,0.7639337512850761,1.9275468744112003,819200.0,-0.004928974900394678,-0.0039452845230698586,-0.0039452845230698586,0.007083110045641661,0.007083110511302948,2.9608635902404785,2.369955062866211,0.8004269599914551,0.5909085869789124,0.0,0.4503365755081177,0.056818172335624695,0.061747144907712936,0.0,2.369955062866211,0.8004269599914551,0.4503365755081177,0.0,0.0,0.11313740129844518,1.0000001192092896
