model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum,global_projection_activated,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement
Qwen3-8B,42,benign,norm_matched,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.707981850829832,14.99897478095173,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Qwen3-8B,42,benign,norm_matched,1,819200,0.491098552942276,-0.0141682717949152,-0.0116670131683349,-2.2113444805145264,-2.197176218032837,2303,2.567863790603869,13.0379428950087,577662,2.1318185329437256,0.0765016451478004,0.7698720064014196,2.5790710026258603,819200.0,-0.0160271376371383,-0.0122891794890165,-0.0122891785576939,0.0539491586387157,0.0539491586387157,2.7802467346191406,2.1318185329437256,0.7667731642723083,0.6484281420707703,0.0,0.459559679031372,0.0366577804088592,0.0526849180459976,0.0,2.1318185329437256,0.7667731642723083,0.459559679031372,0.0,0.0,0.1093788575708458,1.0,0.0013026595115662176,-0.00042468030005699854,0.14011806022596307
Qwen3-8B,42,benign,norm_matched,2,1638400,0.4919669926166534,-0.0167359784245491,-0.0106348991394042,-2.189173460006714,-2.172437191009521,2303,2.5290134841909064,12.541128011017056,577662,3.413172483444214,0.1224838346242904,0.7623983927071094,2.515643054023094,819200.0,0.0006360127590596,0.000473694410175,0.000473694410175,-0.0036849912721663,-0.0036849912721663,1.9903963804244995,1.4824224710464478,0.7447875738143921,0.5079737305641174,0.0,0.4799914360046386,0.021673722192645,0.0210377108305692,0.0,1.4824225902557373,0.7447876334190369,0.4799914360046386,1.1920928955078125e-07,8.04151868261911e-08,0.109969313678448,1.0,0.0021710991859436035,-0.0029923869296908986,0.17896836663892568
Qwen3-8B,42,benign,norm_matched,3,2457600,0.4919669926166534,-0.0181678794324398,-0.0137841701507568,-2.171171903610229,-2.153003931045532,2303,2.512339869054049,12.333755696526412,577662,4.31627368927002,0.1548921912908554,0.763646899163723,2.5114069163627573,819200.0,0.0006275855703279,0.0004576259525492,0.0004576259816531,-0.0039773257449269,-0.0039773266762495,1.6170116662979126,1.1791003942489624,0.7291848659515381,0.4379111230373382,0.0,0.4884158670902252,0.018032032996416,0.0174044482409954,0.0,1.179100513458252,0.7291849255561829,0.4884158670902252,1.1920928955078125e-07,1.0110188927078442e-07,0.1105204413288447,0.9999999403953552,0.0021710991859436035,-0.0044242879375816,0.19564198177578307
Qwen3-8B,42,benign,norm_matched,4,3276800,0.4924012124538421,-0.019289931282401,-0.0112335681915283,-2.1609156131744385,-2.1416261196136475,2303,2.503714779090108,12.227833395387258,577662,4.929896831512451,0.1769124418497085,0.7646435984969139,2.4987272806745024,819200.0,0.0009406671160832,0.0006715561030432,0.0006715562194585,-0.0065119778737425,-0.0065119788050651,1.3149405717849731,0.9387555122375488,0.7139148116111755,0.3761850297451019,0.0,0.4953489601612091,0.0170437879860401,0.0161031186580657,0.0,0.9387555122375488,0.7139148116111755,0.4953489601612091,0.0,0.0,0.1109608365622989,1.0,0.0026053190231323242,-0.005546339787542801,0.20426707173972414
Qwen3-8B,42,benign,norm_matched,5,4096000,0.4915327727794647,-0.0205408614128828,-0.0172376632690429,-2.152902841567993,-2.132361888885498,2303,2.497846040171956,12.156281598428846,577662,5.440826416015625,0.19524747133255,0.7654083912819624,2.488739194603113,819200.0,0.0005717625608667,0.0004070043505635,0.0004070043505635,-0.0039036087691783,-0.0039036085363477,1.2075015306472778,0.8595498204231262,0.7118415832519531,0.347951740026474,0.0,0.4953837990760803,0.0174126531928777,0.0168408919125795,0.0,0.8595498204231262,0.7118415832519531,0.4953837990760803,0.0,0.0,0.1113684183255827,1.0,0.0017368793487549383,-0.006797269918024601,0.21013581065787612
Qwen3-8B,42,benign,norm_matched,6,4915200,0.4932696223258972,-0.0225903447717428,-0.0105476379394531,-2.149746894836426,-2.1271564960479736,2303,2.49360764410027,12.104867495887769,577662,5.85343074798584,0.2100540250539779,0.7660499531775713,2.47586642109236,819200.0,0.0009017151314765,0.0006355880759656,0.0006355880177579,-0.0063043306581676,-0.0063043306581676,1.093306541442871,0.7706342935562134,0.7048656940460205,0.3226722776889801,0.0,0.4981006383895874,0.0172630809247493,0.016361366957426,0.0,0.7706342935562134,0.7048656940460205,0.4981006383895874,0.0,0.0,0.111723880192585,1.0000001192092896,0.0034737288951874334,-0.0088467532768846,0.2143742067295622
Qwen3-8B,42,conflict,norm_matched,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.263833523610398,9.619896671488302,109575,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Qwen3-8B,42,conflict,norm_matched,1,819200,0.4915327727794647,-0.0147747490555047,-0.0175528526306152,-1.921217918395996,-1.9064428806304927,2303,1.946716196076282,7.005644603749185,109575,4.757549285888672,0.1707276403903961,0.7698720064014196,1.9663887934696689,819200.0,-0.0389502272009849,-0.0345837101340293,-0.0345837101340293,0.0680299773812294,0.0680299773812294,5.358234882354736,4.757549285888672,0.887894868850708,0.6006855964660645,0.0,0.3551031947135925,0.0450821965932846,0.0840324312448501,0.0,4.757549285888672,0.887894868850708,0.3551031947135925,0.0,0.0,0.1113807177862327,0.9999999403953552,0.0017368793487549383,-0.0010311575606464993,0.31711732753411614
Qwen3-8B,42,conflict,norm_matched,2,1638400,0.4950065016746521,-0.0133305583149194,-0.0081393718719482,-1.8994688987731931,-1.8861384391784668,2303,1.926331501638076,6.864282387009959,109575,6.577759742736816,0.2360470294952392,0.7639337512850761,1.9275468744112003,819200.0,-0.0049289749003946,-0.0039452845230698,-0.0039452845230698,0.0070831100456416,0.0070831105113029,2.9608635902404785,2.369955062866211,0.8004269599914551,0.5909085869789124,0.0,0.4503365755081177,0.0568181723356246,0.0617471449077129,0.0,2.369955062866211,0.8004269599914551,0.4503365755081177,0.0,0.0,0.1131374012984451,1.0000001192092896,0.005210608243942316,0.0004130331799388001,0.33750202197232215
