model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,negative_coordinate_risk_abs_sum,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,42,benign,coordinate_mortality,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.707981850829832,14.99897478095173,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,1,819200,0.4989144504070282,-0.0050936643965542,-0.0004990100860595,-2.2491695880889893,-2.2440757751464844,2303,2.5863331749903056,13.280983167301947,577662,2.1318185329437256,0.0765016451478004,0.7698720064014196,2.5790710026258603,819200.0,-0.0160271376371383,-0.0526849143207073,-0.0526849143207073,0.0539491586387157,0.2312853336334228,2.7802467346191406,2.1318185329437256,0.7667731642723083,1.7846907377243042,0.459559679031372,0.459559679031372,0.0366577804088592,0.0,0.0010813343105837,0.0010822879849001,0.0091185569763184,0.008649927098304,0.1216486758395265,0.0091185569763184,0.008649927098304,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,2,1638400,0.5145462155342102,0.0200540106743574,0.0234565734863281,-2.191668748855591,-2.211722612380981,2303,2.547986381620545,12.781341109899271,577662,3.215232610702514,0.1153806373476982,0.7428369574248791,2.522324741524062,819200.0,0.0021868851035833,-0.0216625202447175,-0.0216625202447175,-0.0124628823250532,0.1677953004837036,2.097744941711426,1.54338538646698,0.7357354760169983,1.4207375049591064,0.4826543033123016,0.4826543033123016,0.0238494053483009,0.0,0.0005435337079688,0.0005444873822852,0.0247503221035004,0.0337976021692156,0.1599954692092873,0.015631765127182,0.0251476750709116,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,3,2457600,0.5223621129989624,0.0400443077087402,0.0368025302886962,-2.253539800643921,-2.293584108352661,2303,2.5312266705054167,12.5689146010079,577662,4.240065097808838,0.1521573960781097,0.7259279210865498,2.519742503040179,819200.0,0.0065416921861469,-0.0156487822532653,-0.0156487822532653,-0.0457366853952407,0.146919772028923,1.8236109018325808,1.358022689819336,0.744688868522644,1.21709942817688,0.4851595461368561,0.4851595461368561,0.0221904758363962,0.0,0.000704956066329,0.0007059097406454,0.0325662195682526,0.0537878992035984,0.1767551803244154,0.0078158974647521,0.0199902970343828,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,4,3276800,0.5293095707893372,0.0562973655760288,0.0501775741577148,-2.2745912075042725,-2.3308887481689453,2303,2.522316264203808,12.457417943096276,577662,5.0409932136535645,0.1808992028236389,0.7105056878179312,2.5076210328147863,819200.0,0.0095346355810761,-0.0131476949900388,-0.0131476949900388,-0.068828284740448,0.1281190812587738,1.5282762050628662,1.132140874862671,0.7407959699630737,1.0265891551971436,0.4955322742462158,0.4955322742462158,0.0226823315024375,0.0,0.0007665253360755,0.0007674790103919,0.0395136773586273,0.070040957070887,0.1856655866260239,0.0069474577903747,0.0162530578672886,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,5,4096000,0.5405992269515991,0.0777489691972732,0.0694797039031982,-2.395959854125977,-2.4737091064453125,2303,2.516791058855568,12.388777950498373,577662,5.60850191116333,0.2012646049261093,0.6970871542394161,2.497743350832607,819200.0,0.0138721130788326,-0.0133506972342729,-0.0133506972342729,-0.0934186354279518,0.129424050450325,1.3386359214782717,0.9299129843711852,0.6946720480918884,0.962916374206543,0.5116676092147827,0.5116676092147827,0.0272228103131055,0.0,0.0010060123167932,0.0010069659911096,0.0508033335208893,0.0914925606921314,0.1911907919742641,0.0112896561622619,0.0214516036212443,,,,,,,,
Qwen3-8B,42,benign,coordinate_mortality,6,4915200,0.5488492846488953,0.0945229828357696,0.0782890319824218,-2.486201524734497,-2.580724239349365,2303,2.5115581010716475,12.32411732919448,577662,6.127286911010742,0.219881534576416,0.6828559996932745,2.4855054914054926,819200.0,0.0152343967929482,-0.0152033194899559,-0.0152033194899559,-0.0914778411388397,0.1290113627910614,1.2199349403381348,0.8632523417472839,0.7076216340065002,0.8619958162307739,0.512194812297821,0.512194812297821,0.0304377172142267,0.0,0.0012632099678739,0.0012641636421903,0.0590533912181854,0.1082665743306278,0.1964237497581846,0.0082500576972961,0.0167740136384964,,,,,,,,
Qwen3-8B,42,benign,global_projection,0,0,0.4897958934307098,-0.0137435914948582,-0.0164573192596435,-2.302565574645996,-2.2888219356536865,2303,2.707981850829832,14.99897478095173,577662,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
Qwen3-8B,42,benign,global_projection,1,819200,0.4924012124538421,-0.0151985315605998,-0.0123904943466186,-2.215837955474853,-2.200639486312866,2303,2.548255487340564,12.784781104741842,577662,2.7802467346191406,0.0997708961367607,0.7698720064014196,2.5790710026258603,819200.0,-0.0160271376371383,-0.0160271376371383,-0.0160271376371383,0.0539491586387157,0.0539491586387157,2.7802467346191406,2.7802467346191406,1.0,0.0,0.0,0.459559679031372,0.0366577804088592,0.0,0.001106034964323,0.0011069886386394,0.0026053190231323,-0.0014549400657415,0.159726363489268,0.0026053190231323,-0.0014549400657415,,,,,,,,
Qwen3-8B,42,benign,global_projection,2,1638400,0.4928354322910309,-0.0174130499362945,-0.0099992752075195,-2.178766965866089,-2.1613540649414062,2303,2.5163110409801708,12.38283254269298,577662,4.198856830596924,0.1506786048412323,0.7620565479248762,2.508710505188501,819200.0,0.0015584781067445,-1.4551915228366852e-10,-1.3096723705530167e-10,-0.0095787355676293,8.049890753980549e-10,1.84075129032135,1.8406670093536377,0.9999542236328124,0.017632070928812,0.0,0.4901435673236847,0.0208521261811256,1.0,0.0006696994532831,0.0006706531275995,0.0030395388603211,-0.0036694584414362,0.1916708098496613,0.0004342198371887,-0.0022145183756946,,,,,,,,
