model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change,negative_coordinate_risk_abs_sum,counterfactual_cm_update_norm,counterfactual_cm_retained_norm_ratio,counterfactual_cm_killed_fraction,norm_match_abs_error_after_bf16,norm_match_relative_error_after_bf16,norm_match_rounding_bound,norm_match_direction_cosine_raw_vs_post
Qwen3-8B,42,benign,coordinate_mortality,6,4915200,0.5488492846488953,0.0945229828357696,0.0782890319824218,-2.486201524734497,-2.580724239349365,2303,2.5115581010716475,12.32411732919448,577662,6.127286911010742,0.219881534576416,0.6828559996932745,2.4855054914054926,819200.0,0.0152343967929482,-0.0152033194899559,-0.0152033194899559,-0.0914778411388397,0.1290113627910614,1.2199349403381348,0.8632523417472839,0.7076216340065002,0.8619958162307739,0.512194812297821,0.512194812297821,0.0304377172142267,0.0,0.0012632099678739,0.0012641636421903,0.0590533912181854,0.1082665743306278,0.1964237497581846,0.0082500576972961,0.0167740136384964,,,,,,,,
Qwen3-8B,42,benign,global_projection,6,4915200,0.4906643331050873,-0.0210605058819055,-0.0186110734939575,-2.1367204189300537,-2.1156599521636963,2303,2.487981009547971,12.036949085407722,577662,6.601690769195557,0.236905813217163,0.7643505921959877,2.4706359201166195,819200.0,0.0007269873749464,2.9103830456733704e-11,3.637978807091713e-11,-0.0054893959313631,-2.7470362096160267e-10,0.9777180552482604,0.9777032732963562,0.999984860420227,0.0053670816123485,0.0,0.4999262690544128,0.0166693106293678,1.0,0.0011307446984574,0.0011316983727738,0.0008684396743774,-0.0073169143870472,0.2200008412818612,-0.0008684396743774,-0.0014631021767855,,,,,,,,
Qwen3-8B,42,benign,unconstrained,6,4915200,0.4902301132678985,-0.0240915101021528,-0.0149877071380615,-2.143256187438965,-2.11916446685791,2303,2.487993218650136,12.037096046645994,577662,6.605071067810059,0.237027108669281,0.7670850555598736,2.4706540194700937,819200.0,0.0004059782950207,0.0004059782950207,0.0004059782950207,-0.0029062670655548,-0.0029062670655548,0.9761887192726136,0.9761887192726136,1.0,0.0,0.0,0.4993346929550171,0.017336681485176,0.0,0.0011729365214705,0.0011738901957869,0.0004342198371887,-0.0103479186072946,0.219988632179696,-0.0017368793487548,-0.0020081009715796,,,,,,,,
Qwen3-8B,42,conflict,coordinate_mortality,6,4915200,0.5358228087425232,0.0706182047724723,0.0570049285888671,-2.166577100753784,-2.2371952533721924,2303,2.2839642343732174,9.815514384697114,109575,9.565267562866213,0.3432556092739105,0.7081577310711146,1.9048016592438213,819200.0,0.0300376862287521,-0.0553256422281265,-0.0553256422281265,-0.039618857204914,0.1079279854893684,2.0856587886810303,1.4101688861846924,0.6761263608932495,1.536683440208435,0.5348404049873352,0.5348404049873352,0.0853633284568786,0.0,0.0024549318477511,0.0024558855220675,0.0460269153118134,0.0843617962673305,-0.0201307107628192,0.0143291354179382,0.0401688385754823,,,,,,,,
Qwen3-8B,42,conflict,global_projection,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587693,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323,-0.0041544204577803,0.3649207598516286,-0.0017368495464324,0.0001313854008913,,,,,,,,
Qwen3-8B,42,conflict,unconstrained,6,4915200,0.4924012124538421,-0.0178980119526386,-0.0095493793487548,-1.8882904052734373,-1.8703923225402832,2303,1.8989127637587693,6.678629245744741,109575,11.392393112182615,0.408823162317276,0.7634614408016205,1.882816568792623,819200.0,-2.771831350401044e-05,-2.771831350401044e-05,-2.771831350401044e-05,2.7975949706160463e-05,2.7975949706160463e-05,1.6871789693832395,1.6871789693832395,1.0,0.0,0.0,0.4985151588916778,0.0751795098185539,0.0,0.0046449648216366,0.004645918495953,0.0026053190231323,-0.0041544204577803,0.3649207598516286,-0.0017368495464324,0.0001313854008913,,,,,,,,
Qwen3-8B,43,benign,coordinate_mortality,6,4915200,0.5566651821136475,0.096644289791584,0.0863189697265625,-2.54209041595459,-2.638734579086304,2303,2.5122516920172395,12.332668190443597,577662,6.067164897918701,0.2177743166685104,0.6861613557487726,2.505701672040741,819200.0,0.0155791230499744,-0.0147717278450727,-0.0147717278450727,-0.0968165174126625,0.130910113453865,1.2093513011932373,0.8480413556098938,0.7012365460395813,0.8621811270713806,0.5146501660346985,0.5146501660346985,0.0303508527576923,0.0,0.0012697661295533,0.0012707198038697,0.064698189496994,0.1116339033469557,0.197104952404044,0.0169343948364257,0.0236109867691994,,,,,,,,
Qwen3-8B,43,benign,global_projection,6,4915200,0.4915327727794647,-0.023238955065608,-0.0168275833129882,-2.142738342285156,-2.119499444961548,2303,2.488363188932824,12.041550238381586,577662,6.606391429901123,0.237129271030426,0.7660444187372923,2.4906929771217983,819200.0,0.0004368464578874,1.4551915228366852e-11,-7.275957614183426e-12,-0.0031657007057219,5.2727034544064466e-11,0.977677583694458,0.9776726961135864,0.9999949932098388,0.0030950347427278,0.0,0.4981988370418548,0.0174232181161642,1.0,0.0012040614383295,0.0012050151126459,-0.0004342198371886,-0.0082493415102363,0.2209934554884598,-0.0017368495464324,-0.000959649682045,,,,,,,,
Qwen3-8B,43,benign,unconstrained,6,4915200,0.4889274835586548,-0.0263586360961198,-0.0183539390563964,-2.15096378326416,-2.124605178833008,2303,2.4882578241444606,12.040281549827885,577662,6.61433219909668,0.2374143004417419,0.7695197653770447,2.4906103033400724,819200.0,0.0001321307208854,0.0001321307208854,0.0001321307208854,-0.0009024194441735,-0.0009024194441735,0.9763451218605042,0.9763451218605042,1.0,0.0,0.0,0.4975000619888305,0.0182063076645135,0.0,0.001250202069059,0.0012511557433754,-0.0030395090579986,-0.0113690225407481,0.2210988202768229,0.0008684396743774,-0.0014773588627577,,,,,,,,
Qwen3-8B,43,conflict,coordinate_mortality,6,4915200,0.5080329775810242,0.0107580786570906,0.0149134397506713,-1.9075381755828853,-1.918296217918396,2303,1.947634600413708,7.01208157355778,109575,9.33642578125,0.3351209163665771,0.7288984096422791,1.930810625905724,819200.0,-0.4762022197246551,-0.7281002402305603,-0.7281002402305603,0.0926601961255073,0.1872577667236328,2.1976749897003174,1.662710428237915,0.7565770149230957,1.4370696544647217,0.4355356693267822,0.4355356693267822,0.2518979907035827,0.0,0.0158732198178768,0.0158769279178159,0.0160659849643707,0.0257476922124623,0.3036869261609127,-0.0716456770896911,-0.3145884210243821,,,,,,,,
